rule,severity,Year,Line_Key,Intitule,detail
major_virement,medium,2024.0,1212006000-300-00-20-16,Redevances d'électricité,net virement = +400% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-16,Redevances d'électricité,net virement = +85% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-21,Frais d'entretien et de réparation des véhicules,net virement = +88% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-21,Frais d'entretien et de réparation des véhicules,net virement = +469% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-22,Achat de carburants et lubrifiants,net virement = +89% of initial credits
major_virement,medium,2023.0,1212006000-300-00-20-22,Achat de carburants et lubrifiants,net virement = +179% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-22,Achat de carburants et lubrifiants,net virement = +89% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-22,Achat de carburants et lubrifiants,net virement = +744% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-31,Frais de transport du personnel à l'intérieur du Maroc,net virement = +86% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-31,Frais de transport du personnel à l'intérieur du Maroc,net virement = +83% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-31,Frais de transport du personnel à l'intérieur du Maroc,net virement = +73% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-32,Frais de transport du personnel à l'étranger,net virement = -91% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-32,Frais de transport du personnel à l'étranger,net virement = +128% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-32,Frais de transport du personnel à l'étranger,net virement = +57% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-32,Frais de transport du personnel à l'étranger,net virement = +106% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-34,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +97% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-34,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +105% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-35,Indemnités de mission à l'étranger,net virement = -93% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-35,Indemnités de mission à l'étranger,net virement = +52% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-42,Achat de cadeaux présentés aux délégations,net virement = -100% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-42,Achat de cadeaux présentés aux délégations,net virement = +211% of initial credits
major_virement,medium,2023.0,1212006000-300-00-20-42,Achat de cadeaux présentés aux délégations,net virement = +82% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-42,Achat de cadeaux présentés aux délégations,net virement = -100% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-51,Habillement,net virement = -67% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-51,Habillement,net virement = -61% of initial credits
major_virement,medium,2023.0,1212006000-300-00-20-51,Habillement,net virement = -81% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-51,Habillement,net virement = +158% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-51,Habillement,net virement = -98% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-52,Frais de réception et de cérémonies officielles,net virement = +173% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-53,Frais d'hébergement et de restauration,net virement = +5011% of initial credits
major_virement,medium,2023.0,1212006000-300-00-20-53,Frais d'hébergement et de restauration,net virement = +824% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-53,Frais d'hébergement et de restauration,net virement = +500% of initial credits
