Year,Line_Key,Chap,Prog,Reg,Proj,Lb,Depth,Level,Intitule,Credits_Ouverts_Vises,Total_Engage_Vises,Credits_Ouverts,Virements_Plus,Virements_Moins,Total_Credits,Total_Engage
2025,1211006000-300-00-10-12,,,,,12.0,5,Ligne,Cotisations de l'Etat au titre de la prévoyance sociale,60900000,56541100.81,60900000.0,0.0,4200000.0,56700000.0,56541100.81
2026,1211006000-300-00-10-12,,,,,12.0,5,Ligne,Cotisations de l'Etat au titre de la prévoyance sociale,63410000,59317398.88,63410000.0,0.0,0.0,63410000.0,59317398.88
2021,1211006000-300-00-10-13,,,,,13.0,5,Ligne,Cotisations de l'Etat au titre de la retraite,530396000,533491234.27,530396000.0,0.0,0.0,541453000.0,533491234.27
2022,1211006000-300-00-10-13,,,,,13.0,5,Ligne,Cotisations de l'Etat au titre de la retraite,566320000,555014555.78,566320000.0,0.0,9000000.0,557320000.0,555014555.78
2023,1211006000-300-00-10-13,,,,,13.0,5,Ligne,Cotisations de l'Etat au titre de la retraite,370431000,362867141.6,370431000.0,0.0,0.0,370431000.0,362867141.6
2024,1211006000-300-00-10-13,,,,,13.0,5,Ligne,Cotisations de l'Etat au titre de la retraite,370570000,371711023.81,370570000.0,2000000.0,0.0,372570000.0,371711023.81
2025,1211006000-300-00-10-13,,,,,13.0,5,Ligne,Cotisations de l'Etat au titre de la retraite,399200000,398237461.0,399200000.0,0.0,600000.0,398600000.0,398237461.0
2026,1211006000-300-00-10-13,,,,,13.0,5,Ligne,Cotisations de l'Etat au titre de la retraite,433310000,421626323.7,433310000.0,0.0,0.0,433310000.0,421626323.7
2021,1211006000-300-00-10-40,,,,,40.0,5,Ligne,Rémunération des notaires et indemnités aux naïbs à délégation spéciale,10000,0.0,10000.0,0.0,0.0,10000.0,0.0
2022,1211006000-300-00-10-40,,,,,40.0,5,Ligne,Rémunération des notaires et indemnités aux naïbs à délégation spéciale,10000,0.0,10000.0,0.0,0.0,10000.0,0.0
2023,1211006000-300-00-10-40,,,,,40.0,5,Ligne,Rémunération des notaires et indemnités aux naïbs à délégation spéciale,10000,0.0,10000.0,0.0,0.0,10000.0,0.0
2024,1211006000-300-00-10-40,,,,,40.0,5,Ligne,Rémunération des notaires et indemnités aux naïbs à délégation spéciale,10000,0.0,10000.0,0.0,0.0,10000.0,0.0
2025,1211006000-300-00-10-40,,,,,40.0,5,Ligne,Rémunération des notaires et indemnités aux naïbs à délégation spéciale,10000,0.0,10000.0,0.0,0.0,10000.0,0.0
2026,1211006000-300-00-10-40,,,,,40.0,5,Ligne,Rémunération des notaires et indemnités aux naïbs à délégation spéciale,10000,0.0,10000.0,0.0,0.0,10000.0,0.0
2021,1211006000-300-00-10-50,,,,,50.0,5,Ligne,Indemnités horaires pour travaux supplémentaires,837000,0.0,837000.0,0.0,0.0,837000.0,0.0
2022,1211006000-300-00-10-50,,,,,50.0,5,Ligne,Indemnités horaires pour travaux supplémentaires,837000,0.0,837000.0,0.0,0.0,837000.0,0.0
2023,1211006000-300-00-10-50,,,,,50.0,5,Ligne,Indemnités horaires pour travaux supplémentaires,837000,0.0,837000.0,0.0,0.0,837000.0,0.0
2024,1211006000-300-00-10-50,,,,,50.0,5,Ligne,Indemnités horaires pour travaux supplémentaires,837000,0.0,837000.0,0.0,0.0,837000.0,0.0
2025,1211006000-300-00-10-50,,,,,50.0,5,Ligne,Indemnités horaires pour travaux supplémentaires,837000,0.0,837000.0,0.0,800000.0,37000.0,0.0
2026,1211006000-300-00-10-50,,,,,50.0,5,Ligne,Indemnités horaires pour travaux supplémentaires,837000,0.0,837000.0,0.0,0.0,837000.0,0.0
