test_year,category,model,rmse,mae,mape
2022,INVESTISSEMENT,RF_Direct,0.025311666666666066,0.025311666666666066,2.715844062947003
2022,INVESTISSEMENT,XGB_Direct,0.06792368364334112,0.06792368364334112,7.287948888770505
2022,INVESTISSEMENT,RF_Rolling,0.025311666666666066,0.025311666666666066,2.715844062947003
2022,INVESTISSEMENT,XGB_Rolling,0.06792368364334112,0.06792368364334112,7.287948888770505
2022,MATERIEL,RF_Direct,0.071311666666666,0.071311666666666,7.291581458759304
2022,MATERIEL,XGB_Direct,0.04353846597671507,0.04353846597671507,4.45178588718968
2022,MATERIEL,RF_Rolling,0.071311666666666,0.071311666666666,7.291581458759304
2022,MATERIEL,XGB_Rolling,0.04353846597671507,0.04353846597671507,4.45178588718968
2022,PERSONNEL,RF_Direct,0.09131166666666601,0.09131166666666601,9.149465597862326
2022,PERSONNEL,XGB_Direct,0.06353846597671509,0.06353846597671509,6.366579757185881
2022,PERSONNEL,RF_Rolling,0.09131166666666601,0.09131166666666601,9.149465597862326
2022,PERSONNEL,XGB_Rolling,0.06353846597671509,0.06353846597671509,6.366579757185881
2023,INVESTISSEMENT,RF_Direct,0.1153445833333323,0.1153445833333323,14.656236764082884
2023,INVESTISSEMENT,XGB_Direct,0.07709074068069455,0.07709074068069455,9.795519781536791
2023,INVESTISSEMENT,RF_Rolling,0.10926833333333219,0.10926833333333219,13.88415925455301
2023,INVESTISSEMENT,XGB_Rolling,0.07709074068069455,0.07709074068069455,9.795519781536791
2023,MATERIEL,RF_Direct,0.00417416666666659,0.00417416666666659,0.42855920602326386
2023,MATERIEL,XGB_Direct,0.011324965000152565,0.011324965000152565,1.1627274127466698
2023,MATERIEL,RF_Rolling,0.0002987499999996812,0.0002987499999996812,0.030672484599556595
2023,MATERIEL,XGB_Rolling,0.011324965000152565,0.011324965000152565,1.1627274127466698
2023,PERSONNEL,RF_Direct,0.006297083333333897,0.006297083333333897,0.6518719806763869
2023,PERSONNEL,XGB_Direct,0.0033249650001525577,0.0033249650001525577,0.34419927537811157
2023,PERSONNEL,RF_Rolling,0.002926250000000352,0.002926250000000352,0.3029244306418584
2023,PERSONNEL,XGB_Rolling,0.0033249650001525577,0.0033249650001525577,0.34419927537811157
2024,INVESTISSEMENT,RF_Direct,0.06828690476190458,0.06828690476190458,7.39836454625185
2024,INVESTISSEMENT,XGB_Direct,0.10101904678344731,0.10101904678344731,10.944642121716933
2024,INVESTISSEMENT,RF_Rolling,0.07275932142857122,0.07275932142857122,7.882916731156145
2024,INVESTISSEMENT,XGB_Rolling,0.10101904678344731,0.10101904678344731,10.944642121716933
2024,MATERIEL,RF_Direct,0.22176125000000046,0.22176125000000046,18.480104166666706
2024,MATERIEL,XGB_Direct,0.23459489345550533,0.23459489345550533,19.549574454625446
2024,MATERIEL,RF_Rolling,0.22214276190476223,0.22214276190476223,18.511896825396853
2024,MATERIEL,XGB_Rolling,0.23459489345550533,0.23459489345550533,19.549574454625446
2024,PERSONNEL,RF_Direct,0.043349976190475537,0.043349976190475537,4.348041744280395
2024,PERSONNEL,XGB_Direct,0.04072256994247436,0.04072256994247436,4.084510525824911
2024,PERSONNEL,RF_Rolling,0.03901155952380897,0.03901155952380897,3.9128946362897663
2024,PERSONNEL,XGB_Rolling,0.04072256994247436,0.04072256994247436,4.084510525824911
2025,INVESTISSEMENT,RF_Direct,0.18260410714285769,0.18260410714285769,17.14592555331997
2025,INVESTISSEMENT,XGB_Direct,0.16025012969970698,0.16025012969970698,15.046960535183754
2025,INVESTISSEMENT,RF_Rolling,0.1715206785714286,0.1715206785714286,16.105228034875925
2025,INVESTISSEMENT,XGB_Rolling,0.2321376228332519,0.2321376228332519,21.79695989044619
2025,MATERIEL,RF_Direct,0.0011642857142852847,0.0011642857142852847,0.11403386036094856
2025,MATERIEL,XGB_Direct,0.04856536006927481,0.04856536006927481,4.756646431858454
2025,MATERIEL,RF_Rolling,0.027905952380952503,0.027905952380952503,2.733198078447846
2025,MATERIEL,XGB_Rolling,0.04922124958038321,0.04922124958038321,4.8208863447975725
2025,PERSONNEL,RF_Direct,0.01341851190476151,0.01341851190476151,1.341851190476151
2025,PERSONNEL,XGB_Direct,0.012169420719146729,0.012169420719146729,1.2169420719146729
2025,PERSONNEL,RF_Rolling,0.003174190476190164,0.003174190476190164,0.3174190476190164
2025,PERSONNEL,XGB_Rolling,0.024024128913879395,0.024024128913879395,2.4024128913879395
