test_year,category,model,rmse,mae,mape
2022,INVESTISSEMENT,RF_Direct,0.025311666666665955,0.025311666666665955,2.7158440629469904
2022,INVESTISSEMENT,XGB_Direct,0.06792368364334112,0.06792368364334112,7.287948888770505
2022,INVESTISSEMENT,RF_Rolling,0.025311666666665844,0.025311666666665844,2.715844062946979
2022,INVESTISSEMENT,XGB_Rolling,0.06792368364334112,0.06792368364334112,7.287948888770505
2022,MATERIEL,RF_Direct,0.07131166666666588,0.07131166666666588,7.291581458759293
2022,MATERIEL,XGB_Direct,0.04353846597671507,0.04353846597671507,4.45178588718968
2022,MATERIEL,RF_Rolling,0.07131166666666577,0.07131166666666577,7.291581458759282
2022,MATERIEL,XGB_Rolling,0.04353846597671507,0.04353846597671507,4.45178588718968
2022,PERSONNEL,RF_Direct,0.0913116666666659,0.0913116666666659,9.149465597862315
2022,PERSONNEL,XGB_Direct,0.06353846597671509,0.06353846597671509,6.366579757185881
2022,PERSONNEL,RF_Rolling,0.09131166666666579,0.09131166666666579,9.149465597862303
2022,PERSONNEL,XGB_Rolling,0.06353846597671509,0.06353846597671509,6.366579757185881
2023,INVESTISSEMENT,RF_Direct,0.11534458333333208,0.11534458333333208,14.656236764082855
2023,INVESTISSEMENT,XGB_Direct,0.07709074068069455,0.07709074068069455,9.795519781536791
2023,INVESTISSEMENT,RF_Rolling,0.10926833333333219,0.10926833333333219,13.88415925455301
2023,INVESTISSEMENT,XGB_Rolling,0.07709074068069455,0.07709074068069455,9.795519781536791
2023,MATERIEL,RF_Direct,0.004174166666666479,0.004174166666666479,0.4285592060232525
2023,MATERIEL,XGB_Direct,0.011324965000152565,0.011324965000152565,1.1627274127466698
2023,MATERIEL,RF_Rolling,0.0002987500000001253,0.0002987500000001253,0.03067248459960219
2023,MATERIEL,XGB_Rolling,0.011324965000152565,0.011324965000152565,1.1627274127466698
2023,PERSONNEL,RF_Direct,0.006297083333333897,0.006297083333333897,0.6518719806763869
2023,PERSONNEL,XGB_Direct,0.0033249650001525577,0.0033249650001525577,0.34419927537811157
2023,PERSONNEL,RF_Rolling,0.002926249999999908,0.002926249999999908,0.30292443064181246
2023,PERSONNEL,XGB_Rolling,0.0033249650001525577,0.0033249650001525577,0.34419927537811157
2024,INVESTISSEMENT,RF_Direct,0.06828690476190424,0.06828690476190424,7.3983645462518135
2024,INVESTISSEMENT,XGB_Direct,0.10101904678344731,0.10101904678344731,10.944642121716933
2024,INVESTISSEMENT,RF_Rolling,0.07275932142857122,0.07275932142857122,7.882916731156145
2024,INVESTISSEMENT,XGB_Rolling,0.10101904678344731,0.10101904678344731,10.944642121716933
2024,MATERIEL,RF_Direct,0.22176125000000035,0.22176125000000035,18.480104166666695
2024,MATERIEL,XGB_Direct,0.23459489345550533,0.23459489345550533,19.549574454625446
2024,MATERIEL,RF_Rolling,0.22214276190476234,0.22214276190476234,18.51189682539686
2024,MATERIEL,XGB_Rolling,0.23459489345550533,0.23459489345550533,19.549574454625446
2024,PERSONNEL,RF_Direct,0.04334997619047565,0.04334997619047565,4.348041744280406
2024,PERSONNEL,XGB_Direct,0.04072256994247436,0.04072256994247436,4.084510525824911
2024,PERSONNEL,RF_Rolling,0.03901155952380897,0.03901155952380897,3.9128946362897663
2024,PERSONNEL,XGB_Rolling,0.04072256994247436,0.04072256994247436,4.084510525824911
2025,INVESTISSEMENT,RF_Direct,0.18260410714285824,0.18260410714285824,17.145925553320023
2025,INVESTISSEMENT,XGB_Direct,0.16025012969970698,0.16025012969970698,15.046960535183754
2025,INVESTISSEMENT,RF_Rolling,0.17152067857142894,0.17152067857142894,16.105228034875957
2025,INVESTISSEMENT,XGB_Rolling,0.2321376228332519,0.2321376228332519,21.79695989044619
2025,MATERIEL,RF_Direct,0.0011642857142852847,0.0011642857142852847,0.11403386036094856
2025,MATERIEL,XGB_Direct,0.04856536006927481,0.04856536006927481,4.756646431858454
2025,MATERIEL,RF_Rolling,0.02790595238095228,0.02790595238095228,2.733198078447824
2025,MATERIEL,XGB_Rolling,0.04922124958038321,0.04922124958038321,4.8208863447975725
2025,PERSONNEL,RF_Direct,0.013418511904761399,0.013418511904761399,1.3418511904761399
2025,PERSONNEL,XGB_Direct,0.012169420719146729,0.012169420719146729,1.2169420719146729
2025,PERSONNEL,RF_Rolling,0.003174190476190386,0.003174190476190386,0.3174190476190386
2025,PERSONNEL,XGB_Rolling,0.024024128913879395,0.024024128913879395,2.4024128913879395
